"date","User full name","max(time) - min(time)","Active hours","Grade"
"115",2022-11-17,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",749,0.208055555555556,"10th"
"116",2022-11-30,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",47499,13.1941666666667,"10th"
"117",2022-09-08,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",3357,0.9325,"10th"
"118",2022-09-11,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",11938,3.31611111111111,"10th"
"119",2022-09-15,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",6094,1.69277777777778,"10th"
"120",2022-09-21,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",292,0.0811111111111111,"10th"
"121",2022-09-27,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",14159,3.93305555555556,"10th"
"122",2022-10-03,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",646,0.179444444444444,"10th"
"123",2022-10-04,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",19945,5.54027777777778,"10th"
"124",2022-10-11,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",1628,0.452222222222222,"10th"
"125",2022-11-02,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",7111,1.97527777777778,"10th"
"126",2022-11-08,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",22847,6.34638888888889,"10th"
"127",2022-11-14,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",6027,1.67416666666667,"10th"
"128",2022-11-15,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",20182,5.60611111111111,"10th"
"129",2022-11-16,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",2806,0.779444444444444,"10th"
"130",2022-11-21,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",311,0.0863888888888889,"10th"
"131",2022-11-22,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",40924,11.3677777777778,"10th"
"132",2022-11-23,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",212,0.0588888888888889,"10th"
"133",2022-11-27,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",52,0.0144444444444444,"10th"
"134",2022-11-29,"2e1c19c052440a97003721b9616833f07e9ab08ed66b2bc7f358ab5811ec6a35",28507,7.91861111111111,"10th"
"135",2022-09-05,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",31,0.00861111111111111,"10th"
"136",2022-09-12,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",8934,2.48166666666667,"10th"
"137",2022-09-13,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",47055,13.0708333333333,"10th"
"138",2022-09-15,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",34,0.00944444444444444,"10th"
"139",2022-09-16,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",91,0.0252777777777778,"10th"
"140",2022-09-17,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",734,0.203888888888889,"10th"
"141",2022-09-18,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",522,0.145,"10th"
"142",2022-09-19,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",4605,1.27916666666667,"10th"
"143",2022-09-25,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",19580,5.43888888888889,"10th"
"144",2022-09-26,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",1768,0.491111111111111,"10th"
"145",2022-10-02,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",27205,7.55694444444444,"10th"
"146",2022-10-03,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",3322,0.922777777777778,"10th"
"147",2022-10-09,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",27374,7.60388888888889,"10th"
"148",2022-10-10,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",4514,1.25388888888889,"10th"
"149",2022-10-16,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",32853,9.12583333333333,"10th"
"150",2022-10-31,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",32,0.00888888888888889,"10th"
"151",2022-11-06,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",38340,10.65,"10th"
"152",2022-11-07,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",36151,10.0419444444444,"10th"
"153",2022-11-10,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",10876,3.02111111111111,"10th"
"154",2022-11-13,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",5777,1.60472222222222,"10th"
"155",2022-11-14,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",5176,1.43777777777778,"10th"
"156",2022-11-20,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",12491,3.46972222222222,"10th"
"157",2022-11-21,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",453,0.125833333333333,"10th"
"158",2022-11-28,"331592c0f5955fcacef6ee29945b9adc5ef049191b10817b25801c92b0db92dd",35758,9.93277777777778,"10th"
"159",2022-09-05,"334f3f21400472752750b59751196be911f88f76ae14baa706b0a973b6a85478",486,0.135,"10th"
"160",2022-09-11,"334f3f21400472752750b59751196be911f88f76ae14baa706b0a973b6a85478",179,0.0497222222222222,"10th"
"161",2022-09-12,"334f3f21400472752750b59751196be911f88f76ae14baa706b0a973b6a85478",1343,0.373055555555556,"10th"
"162",2022-09-19,"334f3f21400472752750b59751196be911f88f76ae14baa706b0a973b6a85478",2366,0.657222222222222,"10th"
"163",2022-09-26,"334f3f21400472752750b59751196be911f88f76ae14baa706b0a973b6a85478",1916,0.532222222222222,"10th"
"164",2022-10-03,"334f3f21400472752750b59751196be911f88f76ae14baa706b0a973b6a85478",38681,10.7447222222222,"10th"
"165",2022-10-31,"334f3f21400472752750b59751196be911f88f76ae14baa706b0a973b6a85478",33,0.00916666666666667,"10th"
"166",2022-11-05,"334f3f21400472752750b59751196be911f88f76ae14baa706b0a973b6a85478",295,0.0819444444444444,"10th"
"167",2022-11-14,"334f3f21400472752750b59751196be911f88f76ae14baa706b0a973b6a85478",3387,0.940833333333333,"10th"
"168",2022-11-21,"334f3f21400472752750b59751196be911f88f76ae14baa706b0a973b6a85478",752,0.208888888888889,"10th"
"169",2022-09-09,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",1505,0.418055555555556,"10th"
"170",2022-09-10,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",17,0.00472222222222222,"10th"
"171",2022-09-11,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",3,0.000833333333333333,"10th"
"172",2022-09-14,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",153,0.0425,"10th"
"173",2022-09-21,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",596,0.165555555555556,"10th"
"174",2022-09-24,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",43,0.0119444444444444,"10th"
"175",2022-09-26,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",68,0.0188888888888889,"10th"
